gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MonthlyCharges,TotalCharges,tenure_bin,avg_monthly_spend,monthly_ratio,InternetService_DSL,InternetService_Fiber optic,InternetService_No,Contract_Month-to-month,Contract_One year,Contract_Two year,PaymentMethod_Bank transfer (automatic),PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,Churn
1,0,1,0,1,0,0,0,1,0,0,0,0,1,29.85,29.85,0,14.925,14.925,True,False,False,True,False,False,False,False,True,False,0
0,0,0,0,34,1,0,1,0,1,0,0,0,0,56.95,1889.5,2,53.98571428571429,1.6271428571428572,True,False,False,False,True,False,False,False,False,True,0
0,0,0,0,2,1,0,1,1,0,0,0,0,1,53.85,108.15,0,36.050000000000004,17.95,True,False,False,True,False,False,False,False,False,True,1
0,0,0,0,45,0,0,1,0,1,1,0,0,0,42.3,1840.75,3,40.016304347826086,0.9195652173913043,True,False,False,False,True,False,True,False,False,False,0
1,0,0,0,2,1,0,0,0,0,0,0,0,1,70.7,151.65,0,50.550000000000004,23.566666666666666,False,True,False,True,False,False,False,False,True,False,1
1,0,0,0,8,1,1,0,0,1,0,1,1,1,99.65,820.5,0,91.16666666666667,11.072222222222223,False,True,False,True,False,False,False,False,True,False,1
0,0,0,1,22,1,1,0,1,0,0,1,0,1,89.1,1949.4,1,84.75652173913043,3.8739130434782605,False,True,False,True,False,False,False,True,False,False,0
1,0,0,0,10,0,0,1,0,0,0,0,0,0,29.75,301.9,0,27.44545454545454,2.7045454545454546,True,False,False,True,False,False,False,False,False,True,0
1,0,1,0,28,1,1,0,0,1,1,1,1,1,104.8,3046.05,1,105.03620689655173,3.613793103448276,False,True,False,True,False,False,False,False,True,False,1
0,0,0,1,62,1,0,1,1,0,0,0,0,0,56.15,3487.95,4,55.364285714285714,0.8912698412698412,True,False,False,False,True,False,True,False,False,False,0
0,0,1,1,13,1,0,1,0,0,0,0,0,1,49.95,587.45,0,41.96071428571429,3.567857142857143,True,False,False,True,False,False,False,False,False,True,0
0,0,0,0,16,1,0,0,0,0,0,0,0,0,18.95,326.8,1,19.223529411764705,1.1147058823529412,False,False,True,False,False,True,False,True,False,False,0
0,0,1,0,58,1,1,0,0,1,0,1,1,0,100.35,5681.1,4,96.28983050847458,1.7008474576271186,False,True,False,False,True,False,False,True,False,False,0
0,0,0,0,49,1,1,0,1,1,0,1,1,1,103.7,5036.3,3,100.726,2.074,False,True,False,True,False,False,True,False,False,False,1
0,0,0,0,25,1,0,1,0,1,1,1,1,1,105.5,2686.05,1,103.3096153846154,4.0576923076923075,False,True,False,True,False,False,False,False,True,False,0
1,0,1,1,69,1,1,1,1,1,1,1,1,0,113.25,7895.15,4,112.78785714285713,1.6178571428571429,False,True,False,False,False,True,False,True,False,False,0
1,0,0,0,52,1,0,0,0,0,0,0,0,0,20.65,1022.95,3,19.300943396226415,0.38962264150943393,False,False,True,False,True,False,False,False,False,True,0
0,0,0,1,71,1,1,1,0,1,0,1,1,0,106.7,7382.25,4,102.53125,1.4819444444444445,False,True,False,False,False,True,True,False,False,False,0
1,0,1,1,10,1,0,0,0,1,1,0,0,0,55.2,528.35,0,48.03181818181818,5.0181818181818185,True,False,False,True,False,False,False,True,False,False,1
1,0,0,0,21,1,0,0,1,1,0,0,1,1,90.05,1862.9,1,84.67727272727274,4.093181818181818,False,True,False,True,False,False,False,False,True,False,0
0,1,0,0,1,0,0,0,0,1,0,0,1,1,39.65,39.65,0,19.825,19.825,True,False,False,True,False,False,False,False,True,False,1
